latitude,longitude,description,"location_description","primary_type"
"41.883191631","-87.706183852","DOMESTIC BATTERY SIMPLE","PARKING LOT/GARAGE(NON.RESID.)",BATTERY
"41.884485451","-87.628783943","HARASSMENT BY ELECTRONIC MEANS",RESIDENCE,"OTHER OFFENSE"
"41.793121443","-87.732255805","TO LAND","SMALL RETAIL STORE","CRIMINAL TRESPASS"
"41.852504994","-87.716243608","AGGRAVATED: HANDGUN",STREET,ASSAULT
"41.870997196","-87.701860464","TO PROPERTY",RESIDENCE,"CRIMINAL DAMAGE"
"41.751070314","-87.617748076","RESIST/OBSTRUCT/DISARM OFFICER",STREET,"INTERFERENCE WITH PUBLIC OFFICER"
"41.880838208","-87.693949277",SIMPLE,ALLEY,BATTERY
"41.759357433","-87.585750518","FORCIBLE ENTRY","RESIDENTIAL YARD (FRONT/BACK)",BURGLARY
"41.771044503","-87.591117282","ARMED: HANDGUN",STREET,ROBBERY
"41.902957798","-87.693144568","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.924705566","-87.708540787","TO LAND",APARTMENT,"CRIMINAL TRESPASS"
"41.961184538","-87.708555894","RECKLESS FIREARM DISCHARGE","PARKING LOT/GARAGE(NON.RESID.)","WEAPONS VIOLATION"
"41.725905387","-87.591413588",SIMPLE,STREET,BATTERY
"41.76320717","-87.656034111","DOMESTIC BATTERY SIMPLE",RESIDENCE,BATTERY
"41.754535659","-87.584479776","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.884512384","-87.619812122","ATTEMPT: STRONGARM-NO WEAPON","CTA BUS STOP",ROBBERY
"41.905356777","-87.690780557","RECKLESS FIREARM DISCHARGE",ALLEY,"WEAPONS VIOLATION"
"41.864286084","-87.729144703","POSS: HEROIN(WHITE)",SIDEWALK,NARCOTICS
"41.781184105","-87.615649806","OBSTRUCTING IDENTIFICATION",STREET,"INTERFERENCE WITH PUBLIC OFFICER"
"41.78963604","-87.647468739","AGGRAVATED: HANDGUN","VEHICLE NON-COMMERCIAL",BATTERY
"41.873761627","-87.699545765","DOMESTIC BATTERY SIMPLE",SIDEWALK,BATTERY
"41.945934143","-87.76214464","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.774336618","-87.623967421","TO PROPERTY",RESIDENCE,"CRIMINAL DAMAGE"
"42.008859817","-87.680990149","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)",THEFT
"41.751270583","-87.605938082",SIMPLE,RESIDENCE,ASSAULT
"41.883579906","-87.709452068","FROM BUILDING",RESIDENCE,THEFT
"41.886172074","-87.72251176","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.786964968","-87.649161922","UNLAWFUL POSS OF HANDGUN",STREET,"WEAPONS VIOLATION"
"42.004010705","-87.665693709","TO VEHICLE",ALLEY,"CRIMINAL DAMAGE"
"41.722352508","-87.584377376","RETAIL THEFT","GAS STATION",THEFT
"41.789924212","-87.657194052",SIMPLE,RESIDENCE,BATTERY
"42.006316333","-87.686877326",SIMPLE,ALLEY,ASSAULT
"42.005849323","-87.660994398",SIMPLE,"CONVENIENCE STORE",BATTERY
"41.914174256","-87.727686098","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.764686314","-87.684074304","TELEPHONE THREAT","NURSING HOME/RETIREMENT HOME","OTHER OFFENSE"
"41.769359601","-87.575161323",SIMPLE,STREET,BATTERY
"41.8912119","-87.701966237",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.86602405","-87.735600824","TO PROPERTY",OTHER,"CRIMINAL DAMAGE"
"41.678996146","-87.645602827","UNLAWFUL USE HANDGUN",STREET,"WEAPONS VIOLATION"
"41.79535391","-87.668263417","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON",STREET,BATTERY
"41.966409353","-87.648852157","TO LAND","HOSPITAL BUILDING/GROUNDS","CRIMINAL TRESPASS"
"41.899250923","-87.62145895","OTHER CRIME INVOLVING PROPERTY",RESTAURANT,"OTHER OFFENSE"
"41.775976313","-87.718997815","HARASSMENT BY ELECTRONIC MEANS",RESIDENCE,"OTHER OFFENSE"
"41.892935596","-87.76396501","OBSTRUCTING JUSTICE",APARTMENT,"INTERFERENCE WITH PUBLIC OFFICER"
"41.880935999","-87.709231753","POSS: HEROIN(WHITE)","CHA HALLWAY/STAIRWELL/ELEVATOR",NARCOTICS
"41.916806799","-87.653324872",SIMPLE,SIDEWALK,BATTERY
"41.929063775","-87.756330794",SIMPLE,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",BATTERY
"41.969231793","-87.68162997","TO LAND","RESIDENCE PORCH/HALLWAY","CRIMINAL TRESPASS"
"41.751276487","-87.554100406","UNLAWFUL POSS OF HANDGUN","RESIDENTIAL YARD (FRONT/BACK)","WEAPONS VIOLATION"
"41.799383336","-87.603318441","ATTEMPT: STRONGARM-NO WEAPON",STREET,ROBBERY
"41.930719583","-87.70127911","TELEPHONE THREAT",RESIDENCE,"OTHER OFFENSE"
"41.996254158","-87.700807641","AGGRAVATED: HANDGUN",STREET,BATTERY
"41.752073583","-87.671583569","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.859036492","-87.709668661","MANU/DEL:CANNABIS 10GM OR LESS",SIDEWALK,NARCOTICS
"41.937222079","-87.730636241",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.888525948","-87.644322264","DOMESTIC BATTERY SIMPLE","CONVENIENCE STORE",BATTERY
"41.873185004","-87.743795434","AGGRAVATED: OTHER DANG WEAPON","GAS STATION",BATTERY
"41.994584163","-87.657677106","$500 AND UNDER",SIDEWALK,THEFT
"41.912728062","-87.71176946","DOMESTIC BATTERY SIMPLE",RESIDENCE,BATTERY
